ID,BCR,AOU_52,CommonName,ScientificName,Introduced,BD-g,BD-g_s,BD-g Area,BD-g_com,GlobalPopEst,PS-g,PS-g_s,PS-g_com1,PS-g_com2,PS-g_com3,PT-r,PT-r_s,PT-r_com,TB-r,TB-r_s,TB-r_com,RD-b,RD-b_s,RD-b_com,pPop,pPop_s,SubstShared,RCS-b,RC,UCC,TNC,TNC-group,CBSD,Action,RS,UCS
1,1,125,Willow Ptarmigan,Lagopus lagopus,FALSE,1,Natureserve 3.0,21341750,,43000000,2,PIF BBS-based calculation 2008,,,,3,No data,,2,Default to global score,regional threats not evaluated,1,Jim Johnson,likely resident; but in samll numbers on Aleutians; Rock Ptarmigan is the more common species.,,,CA-US,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
2,1,126,Rock Ptarmigan,Lagopus muta,FALSE,1,Natureserve 3.0,9199890,,4700000,3,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,PIFTC,,5,bbs99; Matsuoka,,0.1,Range,,14,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
3,1,289,Bald Eagle,Haliaeetus leucocephalus,FALSE,1,Natureserve 3.0,8635225,,250000,4,L Goodrich; HMANA; May 2007 e-mail,,,,3,BBS-08,,2,Matsuoka,,4,Altman; Matsuoka,,2.5,BBS & Nwt & RngG,CA-US,14,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
4,1,327,Rough-legged Hawk,Buteo lagopus,FALSE,1,Natureserve 3.0,8284174,,330000,4,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,Matsuoka,,1,Matsuoka,,0,Range,CA-US,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
5,1,330,Golden Eagle,Aquila chrysaetos,FALSE,1,Natureserve 3.0,23242678,,230000,4,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,Global default,,1,Matsuoka,,,,CA-US,12,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
6,1,350,Gyrfalcon,Falco rusticolus,FALSE,1,Natureserve 3.0,7746930,,53000,4,PIF BBS-based calculation 2008,,,,3,BBS-08,,3,PIFTC,,2,Matsuoka,,0,Range,,13,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
7,1,351,Peregrine Falcon,Falco peregrinus,FALSE,1,Natureserve 3.0,25941633,,140000,4,White et al. 2002; BNA; upper end,,,,3,BBS-08,,3,Matsuoka,,5,Dunn; Altman,,,,,16,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
8,1,715,Great Horned Owl,Bubo virginianus,FALSE,1,Natureserve 3.0,26145035,,6400000,2,PIF BBS-based calculation 2008,,,,3,No data,,1,Default to global score,regional threats not evaluated,P,Jim Johnson,No record in Gibson and Byrd,,,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
9,1,716,Snowy Owl,Bubo scandiacus,FALSE,1,Natureserve 3.0,5915656,,140000,4,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,PIFTC,,3,Matsuoka,,,,CA-US,13,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE
10,1,735,Short-eared Owl,Asio flammeus,FALSE,1,Natureserve 3.0,62415997,,2500000,3,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,Matsuoka,,2,Matsuoka,,,,CA-US,11,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE
11,1,948,Belted Kingfisher,Megaceryle alcyon,FALSE,1,Natureserve 3.0,13949116,,1700000,3,PIF BBS-based calculation 2008,,,,3,BBS-08,,2,PIFTC,,1,Matsuoka,,,,CA-US,10,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
12,1,1353,Black-billed Magpie,Pica hudsonia,FALSE,1,Natureserve 3.0,5285280,,5400000,2,PIF BBS-based calculation 2008,,,,3,No data,,2,Default to global score,regional threats not evaluated,1,Jim Johnson,Birds of the Aleutians; Gibson and Byrd,,,CA-US,9,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
13,1,1367,Common Raven,Corvus corax,FALSE,1,Natureserve 3.0,50426207,,20000000,2,PIF BBS-based calculation 2008,,,,3,BBS-08,,1,PIFTC,,4,bbs99; Matsuoka,,0,RngG & BBS & Nwt,CA-US,11,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
14,1,1371,Sky Lark,Alauda arvensis,FALSE,1,PIFSC-08,,,,2,PIFTC-02,,,,3,BBS-08,,2,PIFTC,,P,Matsuoka,,,,,,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
